2025-04-13 15:31:44.082792+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGenVertexArraysOES in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGenVertexArraysOES): symbol not found
2025-04-13 15:31:44.082809+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGenerateTextureMipmap in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGenerateTextureMipmap): symbol not found
2025-04-13 15:31:44.082819+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetActiveAtomicCounterBufferiv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetActiveAtomicCounterBufferiv): symbol not found
2025-04-13 15:31:44.082920+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetCompressedTextureImage in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetCompressedTextureImage): symbol not found
2025-04-13 15:31:44.082933+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetCompressedTextureSubImage in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetCompressedTextureSubImage): symbol not found
2025-04-13 15:31:44.082947+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetDebugMessageLog in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetDebugMessageLog): symbol not found
2025-04-13 15:31:44.082958+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetDebugMessageLogARB in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetDebugMessageLogARB): symbol not found
2025-04-13 15:31:44.082969+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetDebugMessageLogKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetDebugMessageLogKHR): symbol not found
2025-04-13 15:31:44.083017+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetFramebufferParameteriv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetFramebufferParameteriv): symbol not found
2025-04-13 15:31:44.083029+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetGraphicsResetStatus in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetGraphicsResetStatus): symbol not found
